Origin,Origin Code,Arrival Time (default),Arrival Date (default),Flight,Airline,Terminal,Status,Scheduled Departure Time,Scheduled Departure Date,Departure Time,Departure Date,Scheduled Arrival Time,Scheduled Arrival Date,Arrival Time,Arrival Date,Equipment
Nantucket,ACK,11:51,2023-06-04,"['9K5281', 'B65354']","['Cape Air', 'JetBlue Airways']",C,Landed - Delayed [+],11:03,2023-06-04,11:15,2023-06-04,11:51,2023-06-04,12:10,2023-06-04,Cessna (Light aircraft)
Charleston,CHS,11:54,2023-06-04,"['B6450', 'EI5117', 'HA2400', 'LY8509', 'QR3839', 'TP4446']","['JetBlue Airways', 'Aer Lingus', 'Hawaiian Airlines', 'El Al Israel Airlines', 'Qatar Airways', 'TAP Air Portugal']",C,Landed - On-time [+],09:39,2023-06-04,09:38,2023-06-04,11:54,2023-06-04,11:56,2023-06-04,
Reykjavik,KEF,11:55,2023-06-04,"['FI635', 'B65635']","['Icelandair', 'JetBlue Airways']",E,Landed - On-time [+],10:20,2023-06-04,10:50,2023-06-04,11:55,2023-06-04,12:08,2023-06-04,
Kansas City,MCI,11:55,2023-06-04,"['DL5755', 'KE3990', 'VS3798']","['Delta Air Lines', 'Korean Air', 'Virgin Atlantic']",A,Landed - On-time [+],07:50,2023-06-04,07:44,2023-06-04,11:55,2023-06-04,11:54,2023-06-04,
Massena,MSS,11:55,2023-06-04,['4B863'],['Boutique Air'],B,Landed - Delayed [+],10:45,2023-06-04,11:10,2023-06-04,11:55,2023-06-04,12:24,2023-06-04,
Columbus,CMH,11:56,2023-06-04,"['AA4595', 'B64731', 'IB4704']","['American Airlines', 'JetBlue Airways', 'Iberia']",B,Landed - On-time [+],10:00,2023-06-04,09:54,2023-06-04,11:56,2023-06-04,11:48,2023-06-04,
Wilmington,ILG,11:56,2023-06-04,['1I123'],['NetJets Aviation'],,Landed - Delayed [+],11:00,2023-06-04,11:51,2023-06-04,11:56,2023-06-04,12:52,2023-06-04,
Washington,DCA,11:59,2023-06-04,"['AA2134', 'B64252', 'JL7609']","['American Airlines', 'JetBlue Airways', 'JAL Japan Airlines']",B,Landed - On-time [+],10:10,2023-06-04,10:03,2023-06-04,11:59,2023-06-04,11:39,2023-06-04,
Dallas,DFW,12:00,2023-06-04,['AA2297'],['American Airlines'],B,Landed - On-time [+],07:12,2023-06-04,07:17,2023-06-04,12:00,2023-06-04,12:03,2023-06-04,
Detroit,DTW,12:00,2023-06-04,"['DL2648', 'AZ3221', 'KE3383', 'VS4262', 'WS8108']","['Delta Air Lines', 'ITA Airways', 'Korean Air', 'Virgin Atlantic', 'WestJet']",A,Landed - On-time [+],10:05,2023-06-04,10:01,2023-06-04,12:00,2023-06-04,11:51,2023-06-04,
